Customer ID,Recency,Frequency,Monetary,Segment,Segment_Name,PC1,PC2
12346.0,165,11,372.86,1,Lost Customers,0.17056642500176467,0.752363720100781
12347.0,3,2,1323.32,0,Regular Customers,0.044403447760600914,-0.9155338658107691
12348.0,74,1,222.15999999999997,0,Regular Customers,-0.36306899948005217,-0.29000652687992967
12349.0,43,3,2671.14,0,Regular Customers,0.08923920358212596,-0.4634413436400737
12351.0,11,1,300.93,0,Regular Customers,-0.14125328367151282,-0.8933441894011417
12352.0,11,2,343.8,0,Regular Customers,-0.054649005815104304,-0.87563405203281
12353.0,44,1,317.76,0,Regular Customers,-0.25319523633549895,-0.5751103572909064
12355.0,203,1,488.21000000000004,1,Lost Customers,-0.7860184430352934,0.961582065225088
12356.0,16,3,3562.25,0,Regular Customers,0.2469875439581592,-0.6895477314712583
12357.0,24,2,12079.99,0,Regular Customers,0.7588486543064924,-0.3060844871521483
12358.0,11,3,2719.01,0,Regular Customers,0.20248216875007105,-0.7696009260492283
12359.0,61,6,2563.36,0,Regular Customers,0.27003816526418634,-0.24602829005027987
12360.0,15,5,1590.83,0,Regular Customers,0.27321820445851436,-0.7416538368696345
12361.0,98,3,321.35,0,Regular Customers,-0.27118430493886286,-0.023097643868846423
12362.0,374,1,130.0,1,Lost Customers,-1.398647762813344,2.5937443879492874
12366.0,269,1,500.24,1,Lost Customers,-1.0114838059448406,1.5972306266373282
12368.0,264,1,917.7,1,Lost Customers,-0.9638142586799007,1.5649186669338813
12369.0,49,3,1791.15,0,Regular Customers,0.0043227316628562775,-0.4390207178501214
12370.0,260,3,774.62,1,Lost Customers,-0.7936177928213096,1.553177250410871
12371.0,45,3,2179.42,0,Regular Customers,0.046428610325232864,-0.4628139323677322
12373.0,260,2,763.0500000000001,1,Lost Customers,-0.8779335999286059,1.536652407443723
12374.0,57,3,2246.29,0,Regular Customers,0.010164126167705075,-0.34479200740754457
12376.0,25,2,503.15,0,Regular Customers,-0.09101083685152646,-0.734861744900228
12377.0,17,2,1798.2,0,Regular Customers,0.031111302841347457,-0.7628128065246549
12378.0,198,1,1407.7,1,Lost Customers,-0.7016434334643851,0.9482813946023558
12379.0,58,2,767.98,0,Regular Customers,-0.1848204973180739,-0.4072364427742224
12380.0,101,7,6951.49,0,Regular Customers,0.5371633940324648,0.3211972168125401
12385.0,15,1,1938.4,0,Regular Customers,-0.03524904299502065,-0.7928385697635844
12386.0,2,1,258.90000000000003,0,Regular Customers,-0.1134610514268602,-0.9815530435438505
12387.0,51,1,143.94,0,Regular Customers,-0.2899102059286686,-0.5143237629651305
12388.0,81,2,1120.45,0,Regular Customers,-0.23792775403418495,-0.17253367986714632
12389.0,38,3,1433.33,0,Regular Customers,0.015885205259749957,-0.5584364427507958
12391.0,100,5,2312.53,0,Regular Customers,0.03447980898485199,0.10372768836194989
12392.0,227,1,234.75000000000003,1,Lost Customers,-0.8868571836844145,1.1829631038950346
12393.0,18,2,816.85,0,Regular Customers,-0.044068669546349915,-0.7903512471864638
12395.0,7,4,2048.64,0,Regular Customers,0.25065643342046623,-0.8173968989125043
12396.0,310,1,931.4300000000001,1,Lost Customers,-1.1205659563451535,2.008148878273838
12399.0,21,3,853.65,0,Regular Customers,0.03180340013983339,-0.7439985645578606
12400.0,50,1,205.25,0,Regular Customers,-0.2819981130302112,-0.5216261613086014
12402.0,28,5,1031.3,0,Regular Customers,0.18772559112087348,-0.6377288111111844
12403.0,157,1,591.6600000000001,1,Lost Customers,-0.6206992373067507,0.5227893234675837
12404.0,318,1,63.24,1,Lost Customers,-1.2114786192340004,2.0522646289746023
12406.0,35,3,2975.06,0,Regular Customers,0.138895783736099,-0.5289253394448655
12408.0,21,3,1452.22,0,Regular Customers,0.0755672958681434,-0.7213314185605232
12409.0,56,4,12346.62,0,Regular Customers,0.8355398221218729,0.0441582437066041
12410.0,138,1,320.38,1,Lost Customers,-0.5753737225795906,0.32965767634264886
12411.0,45,1,346.9,0,Regular Customers,-0.2544941605675921,-0.564382723209829
12412.0,38,3,1370.05,0,Regular Customers,0.011258546186145437,-0.5608327823580456
12413.0,38,1,241.35,0,Regular Customers,-0.23820507190667428,-0.6357487327707089
12414.0,99,3,390.0,0,Regular Customers,-0.2695944918132108,-0.010873812286466163
12415.0,11,7,19543.84,0,Regular Customers,1.76649366834593,-0.06811748469231195
12416.0,292,1,202.56,1,Lost Customers,-1.112126182710003,1.8073129692591092
